rowid,suburb_name,state,postcode,ssc,norm_key,ssc_match,confidence
29658,STRADBROKE PARK,NSW,,,STRADBROKE PARK|NSW,,79
29660,BALWYN NORTH,NSW,,,BALWYN NORTH|NSW,,84
29662,GREYTHORN,NSW,,,GREYTHORN|NSW,,81
29666,BULLEEN SOUTH,NSW,,,BULLEEN SOUTH|NSW,,82
29668,TEMPLESTOWE,NSW,,,TEMPLESTOWE|NSW,,75
29670,TEMPLESTOWE LOWER,NSW,,,TEMPLESTOWE LOWER|NSW,,81
29672,DONCASTER,NSW,,,DONCASTER|NSW,,77
29674,DONCASTER EAST,NSW,,,DONCASTER EAST|NSW,,83
29680,TUNSTALL SQUARE PO,NSW,,,TUNSTALL SQUARE PO|NSW,,82
29682,DONVALE,NSW,,,DONVALE|NSW,,82
29686,WARRANDYTE,NSW,,,WARRANDYTE|NSW,,79
29688,PARK ORCHARDS,NSW,,,PARK ORCHARDS|NSW,,80
29692,CHIRNSIDE PARK,NSW,,,CHIRNSIDE PARK|NSW,,78
29701,RICHMOND EAST,NSW,,,RICHMOND EAST|NSW,,83
29705,RICHMOND SOUTH,NSW,,,RICHMOND SOUTH|NSW,,80
29710,GLENFERRIE SOUTH,NSW,,,GLENFERRIE SOUTH|NSW,,81
29714,HAWTHORN NORTH,NSW,,,HAWTHORN NORTH|NSW,,83
29716,HAWTHORN WEST,NSW,,,HAWTHORN WEST|NSW,,82
29719,HAWTHORN EAST,NSW,,,HAWTHORN EAST|NSW,,82
29724,CAMBERWELL SOUTH,NSW,,,CAMBERWELL SOUTH|NSW,,82
29732,BENNETTSWOOD,NSW,,,BENNETTSWOOD|NSW,,81
29735,SURREY HILLS SOUTH,NSW,,,SURREY HILLS SOUTH|NSW,,82
29740,MONT ALBERT,NSW,,,MONT ALBERT|NSW,,80
29744,SURREY HILLS NORTH,NSW,,,SURREY HILLS NORTH|NSW,,82
29754,WATTLE PARK,NSW,,,WATTLE PARK|NSW,,83
29758,KERRIMUIR,NSW,,,KERRIMUIR|NSW,,81
29764,BLACKBURN NORTH,NSW,,,BLACKBURN NORTH|NSW,,84
29768,LABURNUM,NSW,,,LABURNUM|NSW,,82
29770,BRENTFORD SQUARE,NSW,,,BRENTFORD SQUARE|NSW,,80
29774,NUNAWADING,NSW,,,NUNAWADING|NSW,,74
29778,MITCHAM NORTH,NSW,,,MITCHAM NORTH|NSW,,82
29784,VERMONT SOUTH,NSW,,,VERMONT SOUTH|NSW,,76
29790,RINGWOOD NORTH,NSW,,,RINGWOOD NORTH|NSW,,80
29792,WARRANDYTE SOUTH,NSW,,,WARRANDYTE SOUTH|NSW,,80
29796,BEDFORD ROAD,NSW,,,BEDFORD ROAD|NSW,,77
29800,RINGWOOD EAST,NSW,,,RINGWOOD EAST|NSW,,83
29803,CROYDON HILLS,NSW,,,CROYDON HILLS|NSW,,82
29805,CROYDON NORTH,NSW,,,CROYDON NORTH|NSW,,82
29807,CROYDON SOUTH,NSW,,,CROYDON SOUTH|NSW,,79
29809,KILSYTH,NSW,,,KILSYTH|NSW,,74
29811,KILSYTH SOUTH,NSW,,,KILSYTH SOUTH|NSW,,77
29813,MOOROOLBARK,NSW,,,MOOROOLBARK|NSW,,80
29815,BEENAK,NSW,,,BEENAK|NSW,,82
29821,LAUNCHING PLACE,NSW,,,LAUNCHING PLACE|NSW,,79
29825,SEVILLE EAST,NSW,,,SEVILLE EAST|NSW,,80
