rowid,suburb_name,state,postcode,candidate_ssc,score,norm_key,matched_canonical_key
29322,ALTONA MEADOWS,NSW,,20040,83,ALTONA MEADOWS|NSW,ALTONA MEADOWS|VIC
29322,ALTONA MEADOWS,NSW,,13071,79,ALTONA MEADOWS|NSW,MEADOW FLAT|NSW
29322,ALTONA MEADOWS,NSW,,11125,77,ALTONA MEADOWS|NSW,CLAREMONT MEADOWS|NSW
29330,TARNEIT,NSW,,14696,80,TARNEIT|NSW,TAREE|NSW
29330,TARNEIT,NSW,,14701,78,TARNEIT|NSW,TARKEETH|NSW
29330,TARNEIT,NSW,,14692,76,TARNEIT|NSW,TARANA|NSW
29332,TRUGANINA,NSW,,14692,78,TRUGANINA|NSW,TARANA|NSW
29332,TRUGANINA,NSW,,14675,75,TRUGANINA|NSW,TAMINDA|NSW
29332,TRUGANINA,NSW,,14895,75,TRUGANINA|NSW,TRANGIE|NSW
29336,COCOROC,NSW,,11218,82,COCOROC|NSW,CONCORD|NSW
29336,COCOROC,NSW,,11247,76,COCOROC|NSW,COOLAC|NSW
29336,COCOROC,NSW,,11313,76,COCOROC|NSW,COROWA|NSW
29344,WERRIBEE SOUTH,NSW,,14698,79,WERRIBEE SOUTH|NSW,TAREE SOUTH|NSW
29344,WERRIBEE SOUTH,NSW,,23320,78,WERRIBEE SOUTH|NSW,WERRIBEE SOUTH|VIC
29344,WERRIBEE SOUTH,NSW,,14330,71,WERRIBEE SOUTH|NSW,SOUTH WENTWORTHVILLE|NSW
29349,ASCOT VALE,NSW,,11202,81,ASCOT VALE|NSW,COLO VALE|NSW
29349,ASCOT VALE,NSW,,13036,75,ASCOT VALE|NSW,MASCOT|NSW
29349,ASCOT VALE,NSW,,11890,74,ASCOT VALE|NSW,GALA VALE|NSW
29351,HIGHPOINT CITY,NSW,,21419,83,HIGHPOINT CITY|NSW,HIGHPOINT CITY|VIC
29351,HIGHPOINT CITY,NSW,,10973,67,HIGHPOINT CITY|NSW,CANLEY HEIGHTS|NSW
29351,HIGHPOINT CITY,NSW,,10994,65,HIGHPOINT CITY|NSW,CARDIFF HEIGHTS|NSW
29353,MARIBYRNONG,NSW,,12993,81,MARIBYRNONG|NSW,MARAYONG|NSW
29353,MARIBYRNONG,NSW,,21912,80,MARIBYRNONG|NSW,MARIBYRNONG|VIC
29353,MARIBYRNONG,NSW,,12501,77,MARIBYRNONG|NSW,KARIONG|NSW
29355,TRAVANCORE,NSW,,14394,77,TRAVANCORE|NSW,STANMORE|NSW
29355,TRAVANCORE,NSW,,14742,74,TRAVANCORE|NSW,TERRANORA|NSW
29355,TRAVANCORE,NSW,,14893,72,TRAVANCORE|NSW,TRAJERE|NSW
29357,KEILOR EAST,NSW,,11641,84,KEILOR EAST|NSW,EAST KILLARA|NSW
29357,KEILOR EAST,NSW,,12659,80,KEILOR EAST|NSW,KOTARA EAST|NSW
29357,KEILOR EAST,NSW,,21584,80,KEILOR EAST|NSW,KEILOR EAST|VIC
29361,KEILOR,NSW,,12520,84,KEILOR|NSW,KELSO|NSW
29361,KEILOR,NSW,,12615,84,KEILOR|NSW,KIORA|NSW
29361,KEILOR,NSW,,12626,84,KEILOR|NSW,KLORI|NSW
29363,KEILOR NORTH,NSW,,21586,81,KEILOR NORTH|NSW,KEILOR NORTH|VIC
29363,KEILOR NORTH,NSW,,13600,80,KEILOR NORTH|NSW,NORTH HILL|NSW
29363,KEILOR NORTH,NSW,,10342,79,KEILOR NORTH|NSW,BELMONT NORTH|NSW
29367,DELAHEY,NSW,,11492,78,DELAHEY|NSW,DELEGATE|NSW
29367,DELAHEY,NSW,,10121,76,DELAHEY|NSW,ASHLEY|NSW
29367,DELAHEY,NSW,,10132,76,DELAHEY|NSW,AUDLEY|NSW
29373,TAYLORS HILL,NSW,,14715,81,TAYLORS HILL|NSW,TAYLORS FLAT|NSW
29373,TAYLORS HILL,NSW,,12290,79,TAYLORS HILL|NSW,HILL TOP|NSW
29373,TAYLORS HILL,NSW,,14714,79,TAYLORS HILL|NSW,TAYLORS BEACH|NSW
29375,KEILOR DOWNS,NSW,,21583,81,KEILOR DOWNS|NSW,KEILOR DOWNS|VIC
29375,KEILOR DOWNS,NSW,,12554,77,KEILOR DOWNS|NSW,KIAMA DOWNS|NSW
29375,KEILOR DOWNS,NSW,,11559,71,KEILOR DOWNS|NSW,DOWNSIDE|NSW
29377,KEILOR LODGE,NSW,,21585,81,KEILOR LODGE|NSW,KEILOR LODGE|VIC
29377,KEILOR LODGE,NSW,,11852,75,KEILOR LODGE|NSW,FOREST LODGE|NSW
29377,KEILOR LODGE,NSW,,12892,73,KEILOR LODGE|NSW,LOWER BELFORD|NSW
29381,WATERGARDENS,NSW,,23278,81,WATERGARDENS|NSW,WATERGARDENS|VIC
29381,WATERGARDENS,NSW,,15175,77,WATERGARDENS|NSW,WARREN|NSW
29381,WATERGARDENS,NSW,,15192,74,WATERGARDENS|NSW,WATAGAN|NSW
29383,MOONEE PONDS,NSW,,13256,77,MOONEE PONDS|NSW,MOONEE|NSW
29383,MOONEE PONDS,NSW,,13248,75,MOONEE PONDS|NSW,MOONA PLAINS|NSW
29383,MOONEE PONDS,NSW,,22095,75,MOONEE PONDS|NSW,MOONEE PONDS|VIC
