ssc,suburb_name,state,postcodes
10283,BATEAU BAY,NSW,2261
10284,BATEHAVEN,NSW,2536
10285,BATEMANS BAY,NSW,2536
10286,BATHAMPTON,NSW,2795
10287,BATHURST,NSW,2795
10288,BATHURST WEST,NSW,2795
10289,BATLOW,NSW,2730
10290,BAULKHAM HILLS,NSW,1755
10291,BAULKHAM HILLS,NSW,2153
10292,BAW BAW,NSW,2580
10293,BAWLEY POINT,NSW,2539
10294,BAXTERS RIDGE,NSW,2422
10295,BAY VILLAGE,NSW,2261
10296,BAYLDON,NSW,2452
10297,BAYVIEW,NSW,2104
10298,BEACON HILL,NSW,2100
10299,BEACONSFIELD,NSW,2015
10300,BEAN CREEK,NSW,2469
10301,BEARBONG,NSW,2827
10302,BEARGAMIL,NSW,2870
10303,BEAUMONT,NSW,2577
10304,BEAUMONT HILLS,NSW,2155
10305,BEAURY CREEK,NSW,2475
10306,BEAUTY POINT,NSW,2546
10307,BECKOM,NSW,2665
10308,BECTIVE,NSW,2340
10309,BECTRIC,NSW,2665
10310,BEDGERABONG,NSW,2871
10311,BEDGEREBONG,NSW,2871
10312,BEECHWOOD,NSW,2446
10313,BEECROFT,NSW,2119
10314,BEECROFT PENINSULA,NSW,2540
10315,BEELBANGERA,NSW,2680
10316,BEEMUNNEL,NSW,2824
10317,BEGA,NSW,2550
10318,BEGGAN BEGGAN,NSW,2587
10319,BEILPAJAH,NSW,2878
10320,BELANGLO,NSW,2577
10321,BELLBRAE,NSW,2422
10322,CAMPBELLFIELD,NSW,2191
10323,EXFORD,NSW,2335
10324,BELFRAYDEN,NSW,2650
10325,BELGRAVIA,NSW,2800
10326,BELIMBLA PARK,NSW,2570
10327,BELL,NSW,2786
10328,BELLA VISTA,NSW,2153
10329,BELLAMBI,NSW,2518
10330,BELLANGRY,NSW,2446
10331,KELLALAC,NSW,2397
10332,BELLAWONGARAH,NSW,2535
10333,BELLBIRD,NSW,2325
10334,BELLBIRD HEIGHTS,NSW,2325
10335,BULLAROOK,NSW,2440
10336,BELLEVUE HILL,NSW,2023
10337,BELLIMBOPINNI,NSW,2440
10338,BELLINGEN,NSW,2454
10339,BELLMOUNT FOREST,NSW,2581
10340,BELLTREES,NSW,2337
10341,BELMONT,NSW,2280
10342,NORTH GEELONG,NSW,2280
10343,SOUTH GEELONG,NSW,2280
10344,BELMORE,NSW,2192
10345,BELMORE RIVER,NSW,2440
10346,BELOKA,NSW,2628
10347,BELOON,NSW,2787
10348,BELOWRA,NSW,2545
10349,BELROSE,NSW,2085
10350,BELROSE WEST,NSW,2085
10351,BEREMBOKE,NSW,2550
10352,BEN BUCKLER,NSW,2026
