rowid,suburb_name,state,postcode,ssc,candidate_ssc1,candidate_ssc2,candidate_ssc3,score1,score2,score3,matched_canonical_key1,matched_canonical_key2,matched_canonical_key3
31085,STRATHTULLOH,NSW,,,22879,14425,15480,75,71,71,STRATHTULLOH|VIC,STRATHFIELD|NSW,WRATHALL|NSW
31087,WEIR VIEWS,NSW,,,23307,14963,51630,79,69,69,WEIR VIEWS|VIC,TWIN RIVERS|NSW,SWAN VIEW|WA
31104,MADDINGLEY,NSW,,,12446,21874,12982,79,79,78,JIMARINGLE|NSW,MADDINGLEY|VIC,MANLY|NSW
31115,KOROBEIT,NSW,,,12626,12637,13240,76,76,76,KLORI|NSW,KOOBA|NSW,MOOBI|NSW
31117,MYRNIONG,NSW,,,11624,12501,13056,78,78,78,DYRRING|NSW,KARIONG|NSW,MAYRUNG|NSW
31166,LUCAS,NSW,,,10770,12380,12747,78,78,78,BUCCA|NSW,ILUKA|NSW,LARGS|NSW
31180,SOVEREIGN HILL,NSW,,,14232,14350,22796,79,79,78,SEVEN HILLS|NSW,SPRING HILL|NSW,SOVEREIGN HILL|VIC
31184,BO PEEP,NSW,,,13829,13960,10356,74,70,67,PEEL|NSW,PYREE|NSW,BEN VENUE|NSW
31186,CAPE CLEAR,NSW,,,20565,10923,10983,79,75,75,CAPE CLEAR|VIC,CALARE|NSW,CAPEEN|NSW
31190,CHEPSTOWE,NSW,,,11086,20648,11106,79,77,74,CHARLESTOWN|NSW,CHEPSTOWE|VIC,CHICHESTER|NSW
31201,MININERA,NSW,,,10447,12453,12455,78,78,78,BINDERA|NSW,JINDERA|NSW,JINGERA|NSW
31203,MORTCHUP,NSW,,,13287,12023,12994,78,76,76,MORPETH|NSW,GOCUP|NSW,MARCH|NSW
31211,PIGGOREET,NSW,,,13867,13890,13960,77,73,73,PIGGABEEN|NSW,PIORA|NSW,PYREE|NSW
31223,SMYTHESDALE,NSW,,,14107,14792,15283,74,74,74,ROSEDALE|NSW,THE VALE|NSW,WESTDALE|NSW
31243,BLOWHARD,NSW,,,10323,10348,12911,78,78,78,BELFORD|NSW,BELOWRA|NSW,LOWTHER|NSW
31256,BURRUMBEET,NSW,,,20511,10882,13442,79,77,77,BURRUMBEET|VIC,BURRUMBUTTOCK|NSW,MURRUMBO|NSW
31283,ERCILDOUNE,NSW,,,21049,11149,13521,79,75,72,ERCILDOUNE|VIC,CLUNES|NSW,NERICON|NSW
31285,GARIBALDI,NSW,,,21151,10087,11906,77,75,75,GARIBALDI|VIC,ARCADIA|NSW,GARLAND|NSW
31299,LAMPLOUGH,NSW,,,21743,12885,11687,77,73,72,LAMPLOUGH|VIC,LOUTH|NSW,ELLALONG|NSW
31313,MINERS REST,NSW,,,14376,14382,22031,77,74,73,ST IVES|NSW,ST MARYS|NSW,MINERS REST|VIC
31330,NAVIGATORS,NSW,,,22288,12756,13562,79,74,72,NAVIGATORS|VIC,LAVINGTON|NSW,NGARIGO|NSW
31332,POOTILLA,NSW,,,13870,13928,13722,78,77,76,PILLIGA|NSW,POTTSVILLE|NSW,OOTHA|NSW
31336,SCOTSBURN,NSW,,,13737,14203,14214,75,73,73,OSBORNE|NSW,SATUR|NSW,SCONE|NSW
31340,SULKY,NSW,,,15047,14972,14116,78,75,74,UROLY|NSW,UKI|NSW,ROSLYN|NSW
31352,WERNETH,NSW,,,13697,15232,15243,76,75,75,OBERNE|NSW,WEETHALLE|NSW,WENTWORTH|NSW
31371,SCOTSMANS LEAD,NSW,,,14220,22704,14217,79,78,76,SCOTTS HEAD|NSW,SCOTSMANS LEAD|VIC,SCOTLAND ISLAND|NSW
31379,MANNIBADAR,NSW,,,21902,12966,12943,79,78,77,MANNIBADAR|VIC,MANAR|NSW,MAIANBAR|NSW
