rowid,suburb_name,state,postcode,candidate_ssc,score,matched_canonical_key
29970,OAKLEIGH SOUTH,NSW,,22403,78,OAKLEIGH SOUTH|VIC
29974,NOTTING HILL,NSW,,22373,81,NOTTING HILL|VIC
29978,CLAYTON SOUTH,NSW,,14311,82,SOUTH GRAFTON|NSW
29984,SANDOWN VILLAGE,NSW,,22690,79,SANDOWN VILLAGE|VIC
29988,DINGLEY VILLAGE,NSW,,20911,84,DINGLEY VILLAGE|VIC
29990,SPRINGVALE SOUTH,NSW,,14364,82,SPRINGVALE|NSW
29992,KEYSBOROUGH,NSW,,21610,80,KEYSBOROUGH|VIC
29996,NOBLE PARK EAST,NSW,,22345,79,NOBLE PARK EAST|VIC
29998,NOBLE PARK NORTH,NSW,,22346,80,NOBLE PARK NORTH|VIC
30000,BANGHOLME,NSW,,10221,82,BANGO|NSW
30004,DANDENONG EAST,NSW,,20844,83,DANDENONG EAST|VIC
30006,DANDENONG NORTH,NSW,,20845,84,DANDENONG NORTH|VIC
30008,DUNEARN,NSW,,10828,78,BUNDEMAR|NSW
30010,SCORESBY BC,NSW,,14297,74,SOMERSBY|NSW
30012,DOVETON,NSW,,11289,82,COPETON|NSW
30014,EUMEMMERRING,NSW,,21058,81,EUMEMMERRING|VIC
30018,SCORESBY,NSW,,14297,83,SOMERSBY|NSW
30020,KNOXFIELD,NSW,,11710,83,ENFIELD|NSW
30022,PRAHRAN,NSW,,13792,84,PARA|NSW
30024,PRAHRAN EAST,NSW,,11648,77,EAST SEAHAM|NSW
30030,ST KILDA SOUTH,NSW,,14384,78,ST MARYS SOUTH|NSW
30032,ST KILDA WEST,NSW,,22837,76,ST KILDA WEST|VIC
30035,ST KILDA EAST,NSW,,11641,79,EAST KILLARA|NSW
30037,BRIGHTON ROAD,NSW,,10702,79,BRIGHTON LE SANDS|NSW
30041,ELSTERNWICK,NSW,,21031,80,ELSTERNWICK|VIC
30043,GARDENVALE,NSW,,12110,81,GREENDALE|NSW
30045,RIPPONLEA,NSW,,14836,73,TIONA|NSW
30051,DENDY,NSW,,11451,84,DANDRY|NSW
30053,WERE STREET PO,NSW,,23316,78,WERE STREET PO|VIC
30065,MOORABBIN,NSW,,13240,82,MOOBI|NSW
30067,MOORABBIN EAST,NSW,,22102,83,MOORABBIN EAST|VIC
30071,HIGHETT,NSW,,10509,73,BLIGHTY|NSW
30079,SOUTHLAND CENTRE,NSW,,22795,80,SOUTHLAND CENTRE|VIC
30083,BLACK ROCK,NSW,,14072,81,ROCK FLAT|NSW
30085,BLACK ROCK NORTH,NSW,,13613,80,NORTH ROCKS|NSW
30090,MENTONE EAST,NSW,,21978,81,MENTONE EAST|VIC
30094,ASPENDALE,NSW,,10151,80,AVONDALE|NSW
30098,BRAESIDE,NSW,,10679,82,BRASSI|NSW
30100,MORDIALLOC,NSW,,22117,79,MORDIALLOC|VIC
30106,WATERWAYS,NSW,,15194,77,WATERFALL|NSW
30108,BONBEACH,NSW,,10719,83,BROBENAH|NSW
30110,CHELSEA,NSW,,11102,80,CHELTENHAM|NSW
30112,CHELSEA HEIGHTS,NSW,,20644,84,CHELSEA HEIGHTS|VIC
30114,EDITHVALE,NSW,,11670,82,EDITH|NSW
30116,CARRUM,NSW,,11016,82,CARRAMAR|NSW
30118,PATTERSON LAKES,NSW,,22453,79,PATTERSON LAKES|VIC
30126,FRANKSTON EAST,NSW,,21126,83,FRANKSTON EAST|VIC
30130,FRANKSTON SOUTH,NSW,,14311,83,SOUTH GRAFTON|NSW
30134,KARINGAL CENTRE,NSW,,21570,84,KARINGAL CENTRE|VIC
30138,PINES FOREST,NSW,,11853,81,FOREST REEFS|NSW
