ssc,suburb_name,state
15328,WILLALA,NSW
14777,THE PILLIGA,NSW
15227,WEE WAA,NSW
15549,YARRIE LAKE,NSW
14706,TARRIARO,NSW
14952,TURRAWAN,NSW
15231,WEETALIBA,NSW
14749,THALABA,NSW
14746,TERRY HIE HIE,NSW
14818,TIKITERE,NSW
14928,TULLOONA,NSW
15537,YARRAMAN,NSW
15152,WARIALDA,NSW
15153,WARIALDA RAIL,NSW
14994,UPPER BINGARA,NSW
15309,WHITLOW,NSW
15230,WEEMELAH,NSW
15514,YALLAROI,NSW
14963,TWIN RIVERS,NSW
15580,YETMAN,NSW
15015,UPPER KARUAH RIVER,NSW
15234,WEISMANTELS,NSW
14645,TABBIL CREEK,NSW
14821,TILLEGRA,NSW
14984,UNDERBANK,NSW
14998,UPPER CHICHESTER,NSW
15106,WALLARINGA,NSW
15107,WALLAROBBA,NSW
15379,WIRRAGULLA,NSW
14841,TOCAL,NSW
14882,TORRYBURN,NSW
14900,TREVALLYN,NSW
15050,VACY,NSW
15223,WEBBERS CREEK,NSW
14743,TERREEL,NSW
14813,TIBBUC,NSW
14840,TITAATEE CREEK,NSW
14921,TUGRABAKH,NSW
14995,UPPER BOWMAN,NSW
15102,WALLANBAH,NSW
15141,WAPRA,NSW
15149,WARDS RIVER,NSW
15215,WAUKIVORY,NSW
15378,WIRRADGURIE,NSW
15389,WOKO,NSW
14878,TOPI TOPI,NSW
15022,UPPER MYALL,NSW
15065,VIOLET HILL,NSW
15113,WALLINGAT,NSW
15133,WANG WAUK,NSW
15168,WARRANULLA,NSW
15336,WILLINA,NSW
15468,WOOTTON,NSW
15507,YAGON,NSW
14838,TIRI,NSW
15440,WOODSIDE,NSW
14757,THE BRANCH,NSW
15190,WASHPOOL,NSW
14694,TARBUCK BAY,NSW
14836,TIONA,NSW
14938,TUNCURRY,NSW
15114,WALLINGAT,NSW
15115,WALLIS LAKE,NSW
15312,WHOOTA,NSW
14756,THE BIGHT,NSW
14837,TIPPERARY,NSW
15184,WARRIWILLAH,NSW
15301,WHERROL FLAT,NSW
15371,WINGHAM,NSW
15543,YARRATT FOREST,NSW
14666,TALLWOODS VILLAGE,NSW
14696,TAREE,NSW
14697,TAREE DC,NSW
14698,TAREE SOUTH,NSW
14699,TAREE WEST,NSW
14832,TINONEE,NSW
15016,UPPER LANSDOWNE,NSW
15093,WALLABI POINT,NSW
15034,UPSALLS CREEK,NSW
14721,TEMAGOG,NSW
14873,TOOROOKA,NSW
14947,TURNERS FLAT,NSW
15059,VERGES CREEK,NSW
15268,WEST KEMPSEY,NSW
15329,WILLAWARRIN,NSW
15331,WILLI WILLI,NSW
15385,WITTITRIN,NSW
15544,YARRAVEL,NSW
15577,YESSABAH,NSW
14671,TAMBAN,NSW
14719,TELEGRAPH POINT,NSW
15026,UPPER ROLLANDS PLAINS,NSW
15534,YARRAHAPINNI,NSW
15080,WAITUI,NSW
15266,WEST HAVEN,NSW
14770,THE HATCH,NSW
14806,THRUMSTER,NSW
14855,TOMS CREEK,NSW
15025,UPPER PAPPINBARRA,NSW
15213,WAUCHOPE,NSW
15253,WERRIKIMBE,NSW
15541,YARRAS,NSW
15581,YIPPIN CREEK,NSW
14654,TALARM,NSW
14713,TAYLORS ARM,NSW
14809,THUMB CREEK,NSW
15028,UPPER TAYLORS ARM,NSW
15049,UTUNGUN,NSW
15174,WARRELL CREEK,NSW
15219,WAY WAY,NSW
15381,WIRRIMBI,NSW
15539,YARRANBELLA,NSW
15054,VALLA,NSW
15055,VALLA BEACH,NSW
15061,VIEWMONT,NSW
14748,TEWINGA,NSW
14978,ULONG,NSW
15024,UPPER ORARA,NSW
14872,TOORMINA,NSW
14664,TALLOWWOOD RIDGE,NSW
14970,TYRINGHAM,NSW
15325,WILD CATTLE CREEK,NSW
14801,THORA,NSW
15029,UPPER THORA,NSW
15053,VALERY,NSW
14701,TARKEETH,NSW
