Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
0850,4354,4354,68647,62260,0.9,3935,67770,64451,0.13,548,3081,1840,4354,71285,64357,4354,2491,766,0.06,273,117226,41311,0.06,265,91509,22096,0.84,3647,16860,12587,5417,96818,30407
0852,2152,2152,46612,37742,0.88,1894,44908,35989,0.06,138,1846,2162,2152,48554,38890,2152,1556,0,0.03,72,125106,36158,0.03,66,92586,22875,0.65,1406,11276,6389,3151,39899,5493
0853,496,496,78356,80504,0.97,481,80196,82959,0.27,133,1665,1621,496,81079,83116,496,2723,1940,0.03,13,33833,17285,0.03,13,15438,9714,0.91,451,17350,16211,521,200900,117115
0854,450,450,52316,38968,0.85,381,51651,42913,0.05,24,4480,4134,450,53819,40261,450,1110,74,0.02,11,46679,17514,0.02,11,34972,12518,0.66,298,13707,8050,607,58603,9701
0860,1356,1356,66374,62548,0.94,1268,67543,64992,0.13,172,2064,974,1356,69129,65069,1356,2680,918,0.04,56,51773,25598,0.04,57,35627,9839,0.81,1102,15690,12602,1671,75100,26671
0862,282,282,49861,48546,0.9,253,51485,51701,0.04,10,3787,1137,282,52410,51108,282,2251,388,0.03,9,128659,36568,0.04,10,112691,20491,0.73,205,10178,7974,363,49090,14728
0870,13612,13612,73542,65697,0.91,12434,72886,67352,0.16,2220,2944,1638,13612,76495,68288,13612,2935,1040,0.09,1175,69380,20154,0.08,1096,50062,9461,0.85,11524,18743,13686,15969,118772,44557
0872,3837,3837,46784,36654,0.88,3391,43692,34797,0.06,227,1885,1123,3837,48222,37157,3837,1234,0,0.02,80,77006,19474,0.02,65,69370,9136,0.64,2445,11192,6199,5677,39225,4817
0873,773,773,71059,61525,0.91,700,68677,63603,0.19,147,3334,3189,773,74047,64420,773,2620,780,0.07,56,93947,27678,0.07,53,80096,16984,0.81,624,18992,13169,806,112350,49447
0874,194,194,77464,73439,0.97,188,78152,75278,0.14,28,-185,1318,194,80441,76030,194,2977,856,0.06,12,39569,15836,0.06,11,20162,5743,0.87,168,20294,15778,229,119726,29581
0875,913,913,68068,60246,0.92,839,69049,63191,0.11,100,231,1104,913,70390,62658,913,2322,671,0.05,47,42865,20013,0.05,47,26147,16046,0.81,741,17134,12772,1043,94611,31604
0880,1495,1495,73770,59134,0.95,1425,72155,61704,0.22,331,1720,834,1495,76337,61400,1495,2548,1023,0.05,74,164494,22812,0.05,70,153065,9672,0.8,1203,20062,13409,1915,102484,32380
0885,590,590,93761,74169,0.95,563,95449,78893,0.32,191,1346,749,590,97097,77868,590,2670,1135,0.04,25,91121,31965,0.04,25,76623,9876,0.88,520,26585,17666,675,148664,81791
0886,644,644,65909,57734,0.96,619,64428,59831,0.13,85,365,542,644,68093,60254,644,2184,649,0.04,26,75034,9364,0.04,25,59957,9160,0.8,515,16194,10941,792,98550,28964
2000,22833,22833,107563,42927,0.81,18410,75978,46612,0.14,3259,2892,1799,22833,112144,45157,22833,4243,652,0.11,2434,155943,22103,0.09,1993,124278,8525,0.71,16163,48320,9662,27317,169394,11051
2007,5159,5159,61333,41108,0.85,4395,62247,46633,0.13,649,1916,770,5159,63802,42726,5159,2339,534,0.11,561,54882,19001,0.09,463,43837,7463,0.68,3499,20310,9894,5800,76676,12958
2008,6773,6773,68064,47408,0.86,5851,68915,52365,0.12,823,2220,682,6773,99566,49285,6773,31459,699,0.1,670,63811,18494,0.08,573,41365,7133,0.71,4807,22928,12159,7737,91729,17599
2009,8920,8920,105118,63456,0.8,7133,95156,69740,0.2,1801,2131,1288,8920,109227,66726,8920,3944,1167,0.1,930,6927671,24309,0.09,838,7649500,10122,0.78,6984,39900,17567,10294,224871,51183
